Gene ID	normal_1656639	neoplasm_1656641	normal_1656634	normal_1656636	normal_1656635	neoplasm_1656647	neoplasm_1656645	normal_1656638	normal_1656637	neoplasm_1656646	neoplasm_1656642	neoplasm_1656644	neoplasm_1656643	normal_1656640
ENSG00000009765	1357	4	3271	2771	1651	73	1525	1445	1533	53	477	42	21	3035
ENSG00000009780	234	150	359	294	206	126	113	223	370	153	143	133	163	207
ENSG00000009790	191	169	286	251	209	69	97	214	228	189	103	109	64	358
ENSG00000009830	586	795	590	338	403	483	531	446	1445	542	662	542	1192	572
ENSG00000009844	699	382	959	991	501	285	371	626	798	337	502	251	366	765
ENSG00000009950	40627	1750	30844	22406	25053	215	199	36095	70454	634	1439	1017	579	32596
ENSG00000009954	1759	1707	2105	1996	1535	850	2761	1564	2228	2685	1461	1192	2014	1548
ENSG00000010017	872	716	1417	1146	716	501	501	916	1234	633	581	434	560	925
ENSG00000010030	299	57	29	233	61	93	45	39	52	30	110	233	31	48
ENSG00000010072	248	154	287	224	156	261	169	152	302	133	133	119	193	165
ENSG00000010165	457	562	681	460	380	1424	772	358	405	547	630	448	568	823
ENSG00000010219	282	205	304	212	214	233	246	216	483	334	170	255	448	173
ENSG00000010244	3129	2593	3818	3063	2760	2965	3179	1953	4191	3399	3150	3105	3971	2691
ENSG00000010256	4860	1345	5519	5405	3199	2408	1270	4566	3953	969	1217	1053	1015	6786
ENSG00000010270	216	363	382	317	288	251	652	126	242	445	676	426	442	268
ENSG00000010278	1928	1067	1551	816	4052	2350	327	725	2251	1272	809	925	2425	781
ENSG00000010282	8	0	25	6	7	1	1	2	5	0	0	5	4	4
ENSG00000010292	393	760	516	365	298	987	799	350	546	774	752	852	1407	584
ENSG00000010295	1094	710	917	759	818	268	292	790	2506	480	694	702	189	1098
ENSG00000010310	18	95	36	20	25	145	308	17	157	163	327	1148	130	67
ENSG00000010318	183	71	249	163	138	47	55	158	344	51	47	71	15	230
ENSG00000010319	34	55	115	51	90	174	45	104	413	102	21	255	126	147
ENSG00000010322	3446	2004	3332	3275	3663	4150	1817	3613	8197	2359	2211	2549	1906	4779
ENSG00000010327	7731	1660	8495	6188	10363	4799	1240	4910	16552	2640	3171	2162	1345	12152
ENSG00000010361	127	228	162	160	94	371	216	178	268	206	248	266	355	236
ENSG00000010379	1309	2	1233	1005	682	5	8	2301	2009	3	2	27	6	2919
ENSG00000010404	1581	3380	1654	1650	1402	1061	2016	1226	1481	3097	2287	2099	2281	1371
ENSG00000010438	10	0	12	2	12	15	80	17	32	1	881	65	2	13
