	OA_002	OA_003	OA_004	ACUTE_002	ACUTE_003	ACUTE_004	SUBACUTE_002	SUBACUTE_003	SUBACUTE_004
P02655	9931	7441	47770	99100	41980	14920	101400	28500	21530
P02656	75020	39280	322200	354900	410700	75090	606200	162600	112200
P55056	43418	53430	186950	238075	117675	76555	206375	147050	84345
P05090	33360	38960	113145	133010	92870	61695	156600	132325	142080
P02649	81242	67818	165650	146800	90755	103810	220275	125778	126750
Q13790	23498	11216	37858	70680	33218	26412	57612	44992	46022
P02749	37735	37450	63875	59790	53090	23650	75060	44960	90245
O14791	10105	12756	11584	24250	17400	21035	18945	19850	18625
O95236	120570	607300	138185	38785	36990	64915	15425	15125	106860
O95445	31180	30540	34790	85705	50145	39865	147700	66625	64260
P07306	2889	8120	5215	5351	4128	4519	2242	3872	3544
O75882	44070	57950	106800	75442	65140	100510	89800	103100	113900
P25311	106452	127132	217125	178550	90610	95688	147202	130100	256950
P61769	237175	629000	952500	235025	149375	226075	186392	129685	371125
Q9P281	18380	5984	12170	31520	21480	18130	73480	65060	17870
P06276	20700	16370	27080	45580	25605	22360	49895	48705	37040
P21810	6409	5699	6238	9106	10399	7416	16540	9578	7458
Q13867	19850	47420	21040	32880	12030	23010	15850	25120	26030
P30043	7715	7516	33395	20625	15370	13395	18215	17860	9810
P07738	9258	14385	25876	35028	21880	28620	26355	34948	20386
Q6PJG6	10250	10210	11630	18000	17090	11330	21120	25410	15710
Q10588	16244	12642	22892	39870	17825	20290	40128	33740	18748
P43251	31048	41952	37520	37860	34515	35378	56395	55228	48910
Q96M02	4838	3978	8342	10680	6848	7449	12070	12030	7306
Q9BRQ4	45930	39160	69135	74555	84235	50130	106810	90020	90035
Q8IYL3	225900	246000	358800	485300	274800	260700	368200	478400	345700
P02745	70530	98260	147300	311900	124600	85520	149100	175400	200100
P02746	24930	34635	55905	92640	43805	42212	71190	57330	61505
P02747	13760	18280	33050	55880	25810	24105	35545	42720	39985
P00736	28605	34098	60760	85480	56150	33780	95502	88560	91315
Q9NZP8	39252	43185	65310	70150	57500	53625	96125	86350	66365
P09871	30512	36960	42218	58975	45830	26540	60770	64385	59670
P06681	33630	28155	48420	54550	41230	30560	64370	48195	51375
P01024	36935	29025	41215	82880	39960	39420	86020	68330	63022
P0C0L4	28255	50532	71458	91402	46780	29422	80428	75615	92590
P0C0L5	22080	39910	99840	179150	61960	37725	126400	118400	89920
P04003	15870	16980	79580	59410	44252	33960	71390	51870	57670
P20851	4068	3867	27520	28638	16306	13217	42552	30650	18420
P01031	61584	54805	112375	115405	74925	53368	84525	97255	106625
P13671	23948	26968	45922	42222	44408	23415	43545	38005	44350
P10643	31060	25070	52472	38398	41160	31995	58465	44785	52010
P07357	25930	18160	36232	29915	25100	16295	26530	25778	46215
P07358	40325	58172	87332	75075	57748	39910	65645	55025	67080
P07360	74392	58498	107755	106050	94515	68020	103990	100310	121685
P02748	63455	77370	97730	115200	60650	73928	85770	75750	84480
P00915	23845	26785	201500	108600	66200	59560	68570	90395	36305
P00918	19668	29665	263250	87615	51352	58445	63202	42548	30182
P54289	3712	10430	3894	5040	3265	5351	2163	5165	4789
P27797	35458	42590	35435	36892	20552	33988	33441	35945	37050
P49913	166700	25510	84640	73640	60930	39900	37710	40610	58850
P41180	27060	30560	90020	25190	57460	12940	120000	41990	80180
P04040	18698	14200	68810	110180	50320	50568	50198	59250	23645
Q16627	22672	48290	72035	51410	32866	30568	47660	44500	56330
Q6YHK3	8446	7522	6159	12110	6989	9302	30520	13650	20370
