Gene ID	WKY.adrenals_replicate.2	SHR.adrenals_replicate.1	SHR.adrenals_replicate.2	SHR.adrenals_replicate.3	WKY.adrenals_replicate.1	WKY.adrenals_replicate.3
ENSRNOG00000049695	8.423080957	8.743742656	8.722363986	8.821668821	8.331966395	8.46200238
ENSRNOG00000049743	10.09659049	9.962328913	9.745575692	9.812136267	10.03814952	9.769230263
ENSRNOG00000049761	11.37468367	11.23909931	11.21843264	11.29020134	11.25346825	11.30644968
ENSRNOG00000049766	10.30241952	10.30425291	10.34209925	10.35056314	10.21096516	10.19702324
ENSRNOG00000049770	9.342890497	9.415154305	9.383309926	9.396777968	9.252533672	9.486187005
ENSRNOG00000049771	11.98507154	12.15925274	12.3021498	12.18575072	11.76100053	11.8431079
ENSRNOG00000049780	9.877080118	9.708925616	9.734156388	9.58590944	9.752066409	9.683904505
ENSRNOG00000049785	9.530495924	9.54167718	9.641840723	9.692601889	9.608438508	9.555565438
ENSRNOG00000049792	6.127810872	6.318320476	6.418902873	6.39759205	6.276605184	6.289992369
ENSRNOG00000049828	12.48525045	12.54689753	12.63256854	12.5973643	12.62014439	12.70413729
ENSRNOG00000049829	11.87405686	10.9832461	11.00998755	10.86927475	10.90904618	11.25220544
ENSRNOG00000049873	6.154261099	6.083948858	5.960112752	6.01507562	6.00124143	6.017454582
ENSRNOG00000049876	13.49768927	13.32708207	13.42842347	13.5328079	13.55892843	13.49568899
ENSRNOG00000049882	9.810804076	9.749348497	9.699030533	9.716628366	9.677471759	9.607850323
ENSRNOG00000049912	13.20063606	13.03556237	13.13570977	13.33337253	13.39720494	13.04020793
ENSRNOG00000049920	12.27312572	12.23485145	12.30744562	12.39901366	12.33965196	11.98826517
ENSRNOG00000049931	11.21484105	11.07566219	11.17184106	11.10801375	11.27778292	11.01821845
ENSRNOG00000050000	11.67441049	11.47681834	11.55376545	11.44748499	11.32871099	11.38749882
ENSRNOG00000050006	9.969906485	10.0546526	9.860525698	9.947187651	9.754429721	9.918161958
ENSRNOG00000050023	10.92540987	10.85255599	10.74567811	10.71319676	10.52858957	10.71829951
ENSRNOG00000050040	7.949693378	8.083058576	8.018986066	7.976717638	8.076348092	7.932551098
ENSRNOG00000050044	12.29003007	12.28861579	12.4565333	12.3196585	12.62513843	12.43678997
ENSRNOG00000050090	10.27509493	10.34434578	10.20608095	10.3008774	9.971237558	10.27401428
ENSRNOG00000050121	9.718054331	9.678802254	9.62869884	9.720339734	9.662438819	9.65254003
ENSRNOG00000050169	9.629637468	9.596606147	9.631958619	9.638051303	9.652436556	9.511828762
ENSRNOG00000050197	12.22934368	12.10189951	11.9054672	11.92910336	12.31738734	12.00322344
ENSRNOG00000050220	10.48944242	10.76308484	10.76117484	10.69568714	10.69255251	10.8616252
ENSRNOG00000050245	9.686707629	9.902979469	9.498752366	9.73698162	9.589664725	9.640119748
ENSRNOG00000050258	13.67651595	13.12756599	13.38984587	13.18079462	13.06067024	13.0371017
ENSRNOG00000050316	10.54771018	10.53355135	10.24835429	10.33132886	10.43837	10.48983785
ENSRNOG00000050404	10.77097216	10.77342517	10.69889334	11.16564734	10.97547949	10.73283262
ENSRNOG00000050407	10.83517452	11.10438384	11.40750191	11.5869588	11.26925509	10.94833021
ENSRNOG00000050410	10.21408252	10.08740746	9.897333903	9.62668293	10.43574899	10.06684639
ENSRNOG00000050420	9.200097196	9.104958148	9.165693354	9.140307839	9.139500833	8.925483406
ENSRNOG00000050424	10.26766163	10.24198047	10.14241887	10.26066731	10.17074031	10.24581998
ENSRNOG00000050430	7.96620798	7.915042119	8.062192781	7.957997811	7.992487272	7.932186884
ENSRNOG00000050437	8.396135877	8.361496761	8.266695072	8.363554228	8.055215922	8.180159485
ENSRNOG00000050473	11.8081194	11.91505581	11.96517418	11.84572935	11.93517152	11.63620441
ENSRNOG00000050486	10.28585868	10.42432515	10.27124908	10.18431614	10.24673359	10.58909689
ENSRNOG00000050510	10.87170544	11.03029696	11.02580166	10.89046525	10.82654294	10.67484011
ENSRNOG00000050519	11.17627852	10.98646506	10.92246621	11.00847497	11.27164242	11.00539184
ENSRNOG00000050534	6.596504408	6.560484336	6.462227946	6.381252955	6.651896388	6.661809093
ENSRNOG00000050539	10.27732582	10.39501826	10.34975289	10.34448361	10.57600429	10.33236629
ENSRNOG00000050543	10.92047204	10.77214113	10.64499183	10.6900071	10.77869017	10.69426176
ENSRNOG00000050547	11.07809005	11.04321713	10.9731853	11.00258921	11.00729063	10.78766592
ENSRNOG00000050552	8.794586682	8.86355853	8.642818309	8.768957902	8.95231224	8.802652288
ENSRNOG00000050563	12.42391311	12.17088485	12.32752039	12.60058973	12.76597968	12.58900981
ENSRNOG00000050570	12.31124383	12.45197161	12.36921322	12.19967477	12.20235551	12.33830906
ENSRNOG00000050578	11.61010856	11.34064716	11.89268373	12.06486723	12.24960378	11.74564281
ENSRNOG00000050585	13.49965009	13.64513752	13.67721236	13.65246777	13.77538359	13.57697699
ENSRNOG00000050624	9.838661458	9.682520394	9.787367217	9.590477981	10.05229061	10.10043967
ENSRNOG00000050647	12.41508514	12.60246035	13.31502119	14.70216462	12.05983926	12.6547691
ENSRNOG00000050655	9.662517053	9.838447204	10.1100828	10.56264218	10.1027115	9.729390306
ENSRNOG00000050658	10.24687679	10.47127562	10.47516612	10.48346121	10.28079924	10.29016845
ENSRNOG00000050675	9.293401716	9.385959678	9.346658171	9.61382481	9.257758746	9.262180719
ENSRNOG00000050767	11.20166901	11.22094908	11.21389053	11.27491412	11.13241178	11.32114537
ENSRNOG00000050794	10.44719314	10.44644442	10.48122671	10.23349612	10.32772855	10.548973
ENSRNOG00000050841	10.0985691	10.25185283	10.17045317	10.1991872	10.06906183	10.35958043
ENSRNOG00000050846	10.16954685	10.55582434	10.415137	10.53296613	10.07538276	10.14496993
ENSRNOG00000050860	9.804350364	9.789891401	9.813789704	9.83953731	9.624426329	9.696111479
ENSRNOG00000050869	10.15602933	10.24892007	10.22293827	10.22747673	10.11214201	10.50341686
ENSRNOG00000050933	9.63046673	9.89732418	10.11058183	10.15549693	10.2712532	9.825991729
ENSRNOG00000050968	8.78261452	8.911404187	8.913183938	9.010543937	8.843281909	8.690131795
ENSRNOG00000050983	10.91738058	10.9218596	10.78750205	10.90644239	10.7122526	10.8623436
ENSRNOG00000050997	9.633339469	9.139145074	9.565564647	10.29069989	9.493526401	9.622541282
ENSRNOG00000051061	9.968400926	9.897665246	10.00511008	10.06428312	9.952993067	9.8017314
ENSRNOG00000051171	9.775190654	9.817682976	9.608592474	9.683674366	9.762536984	9.846587287
ENSRNOG00000051238	10.71598851	11.27967375	11.04369024	10.67599907	10.48148012	10.54078274
ENSRNOG00000051300	10.01359788	10.23003279	10.09260696	9.863551868	10.47854696	10.23598335
ENSRNOG00000051302	8.561291836	8.636078152	8.656267332	8.589615987	8.557536792	8.906968203
ENSRNOG00000051372	7.110707672	7.014683996	6.947782808	7.086633356	6.9707212	7.29992233
ENSRNOG00000051382	10.03757807	10.24547982	10.07098088	10.20608501	10.42981591	10.25809466
ENSRNOG00000051391	7.07073559	7.044266007	7.155226539	7.048865775	7.006352674	6.976160526
ENSRNOG00000051399	10.32587482	10.32823103	10.29025079	10.34226291	10.26705873	10.40253978
ENSRNOG00000051408	10.3443773	10.26090065	10.34201688	10.37279403	10.47267665	10.15501315
ENSRNOG00000051450	8.824611913	8.422735399	8.819265651	8.745148989	8.493399579	8.470210128
ENSRNOG00000051458	8.029664844	7.991550167	8.031645197	8.023025647	7.820608594	7.916760999
ENSRNOG00000051461	8.372160367	8.314260322	8.448427361	8.441296109	8.167990495	8.244548647
ENSRNOG00000051490	11.21156034	11.16083482	11.24959828	11.30460075	11.28606315	11.21636902
ENSRNOG00000051499	10.04399324	10.06639552	10.13843841	9.955930728	9.78375197	9.842556672
ENSRNOG00000051529	11.24684255	11.35087243	11.28380524	11.35313235	10.69928595	11.24586077
ENSRNOG00000051650	13.29390779	13.29886122	13.69143467	13.57332806	13.2669376	13.35417197
ENSRNOG00000051690	6.689335057	6.853574007	6.81189125	6.425756726	6.925125839	6.960661118
ENSRNOG00000051706	11.32676321	10.97600674	11.03949897	11.0847663	11.14419271	11.20912793
ENSRNOG00000051720	11.22765678	10.90258815	11.22118384	11.26847582	11.2418768	11.2617342
ENSRNOG00000051785	10.76522037	10.96795244	10.76416605	10.75770372	10.57811068	10.97511657
ENSRNOG00000051854	8.887660066	9.005503749	8.919399963	9.037678149	8.685916872	9.018337342
ENSRNOG00000051950	10.03835335	10.02888963	10.12213388	9.945291371	9.754747297	10.11174264
ENSRNOG00000051964	6.967148719	6.974071394	7.09840001	7.013937046	7.061408281	6.947455441
ENSRNOG00000051970	8.749882738	8.791986276	8.87570538	9.025626296	8.963764495	9.129068905
ENSRNOG00000051986	8.85953285	8.831482805	8.899583303	8.904491911	8.895750594	8.765425565
ENSRNOG00000051993	10.9922781	11.23638316	11.02329414	10.93847721	11.1140208	11.13908664
ENSRNOG00000052003	8.903349941	8.855169814	8.849154838	8.986304501	8.870684022	9.047265174
ENSRNOG00000052010	9.913686252	9.84464398	9.817479208	9.935708984	9.923555459	9.767302741
ENSRNOG00000052017	11.10503907	11.32052736	11.20547293	11.3207237	11.22447266	11.39050332
ENSRNOG00000052025	12.58448622	12.53787599	12.59296853	12.35424637	12.58672346	12.28970353
ENSRNOG00000052080	11.42214907	11.59576649	11.5256904	11.55762309	11.39542564	11.40671622
ENSRNOG00000052113	11.38671394	11.39709788	11.42228963	11.31253109	11.41031573	11.34296169
ENSRNOG00000052140	10.47363541	10.27703911	10.36840506	10.37191339	10.30711584	10.33554324
ENSRNOG00000052219	13.45282175	13.73082688	13.5053339	13.51647081	13.53658481	13.42142788
ENSRNOG00000052368	10.40825483	10.40908086	10.44174213	10.4349818	10.0826519	10.52737476
ENSRNOG00000052395	6.663569694	6.565348056	6.735735597	6.662424486	6.706576535	6.699080549
