Gene ID	wild.type.genotype_1	Hunk.knockout_2	Hunk.knockout_3	wild.type.genotype_4	wild.type.genotype_5	Hunk.knockout_6	wild.type.genotype_7	wild.type.genotype_8	Hunk.knockout_9	wild.type.genotype_10	Hunk.knockout_11	Hunk.knockout_12
ENSMUSG00000029198	9.207357984	9.150873134	9.630623851	8.765273119	9.067089393	9.423908479	9.085592742	9.050950755	8.761393526	9.061002509	9.30116425	8.943375311
ENSMUSG00000029199	7.812503672	7.829230472	7.803856061	7.354058449	7.688664659	8.069957113	7.457598734	7.813862634	7.62984207	7.639881557	7.863184326	7.50883413
ENSMUSG00000029201	7.946868232	7.443121101	8.055300326	7.881061508	8.008457373	7.804684123	8.470841727	7.821594041	7.726347104	8.110063564	8.083700655	7.925697216
ENSMUSG00000029202	8.27204915	7.792540475	7.813355799	7.901492645	7.824865138	7.895040389	7.9527085	8.101274368	7.472711489	7.961947054	8.398686597	7.901590837
ENSMUSG00000029203	9.529663916	9.459335396	9.344748423	8.933132558	8.932463144	9.317311397	8.760708351	9.152449834	8.800218066	8.957529915	9.33073584	8.680911319
ENSMUSG00000029204	6.297131984	6.249205831	6.169761772	6.251498023	6.322849904	6.490937075	6.265111119	6.302751968	6.615272855	6.201298242	6.372970236	6.487887124
ENSMUSG00000029207	7.402698322	7.377547013	7.263643443	7.265468936	7.264791786	7.580227179	7.276469946	7.299666869	7.121515522	7.429361189	7.417001333	7.370107956
ENSMUSG00000029209	7.59884916	7.330830696	7.494268119	7.726131405	7.696380336	7.372574659	8.07710036	7.403251717	7.349651787	7.472963405	7.207637797	7.377517842
ENSMUSG00000029212	6.730945706	6.48692558	6.624465975	6.694767738	6.711507261	6.761003245	6.78947276	6.720423782	6.781471845	6.492521331	6.76863757	6.937314205
ENSMUSG00000029217	7.902992873	7.881143799	7.72854082	7.715167221	7.683979057	7.77363344	7.719477645	7.801685983	8.071519072	7.742006695	7.83672341	7.974122763
ENSMUSG00000029221	7.613413494	7.590198534	7.700682817	7.471268569	7.353761153	7.580987427	7.709937296	7.438397965	7.337483528	7.491935384	7.56448495	7.536316792
ENSMUSG00000029223	3.924858647	4.028207394	3.797148308	4.009953036	3.878948691	3.861567652	3.870488659	3.870831995	4.160898442	3.753939339	3.908275957	3.855619824
ENSMUSG00000029227	7.256223827	6.586439243	6.589759994	6.544371251	6.774957291	6.529526513	6.645371601	6.892315616	6.381643504	6.572876035	6.482963335	6.400307474
ENSMUSG00000029228	7.916462566	8.469152922	7.774803957	7.751151096	7.926811045	7.808416315	7.919181158	7.884111648	7.691533922	7.874283128	7.89393293	7.609412259
ENSMUSG00000029229	8.573222437	8.533411979	8.627525905	8.514926181	8.395856513	8.199043399	8.986927413	8.477192268	8.003609365	8.581253582	8.477156725	8.270816854
ENSMUSG00000029231	6.645485104	6.531733399	6.463931211	6.513414185	6.435568773	6.529440272	6.476775858	6.694864545	6.831987082	6.468881088	6.655578178	6.597891718
ENSMUSG00000029233	7.366621061	7.338576892	7.512801877	7.232871169	7.143938699	7.393275741	7.238630277	7.163998411	7.694307522	7.14104333	7.201982626	7.540861455
ENSMUSG00000029234	8.472257899	8.586089077	9.487721192	8.433007963	8.348799289	8.226147065	8.36177955	8.263257275	8.69813638	8.168815453	8.108585257	9.140988236
ENSMUSG00000029235	3.633204278	3.688043813	3.524792873	3.431690878	3.538715779	3.601491152	3.477501584	3.669169438	3.70162947	3.554801882	3.597838829	3.615265506
ENSMUSG00000029236	7.03970425	6.736052506	6.804495353	6.988155977	6.874797071	6.898796671	6.710316036	6.777975677	7.107024625	6.698487728	6.920671729	7.104203927
ENSMUSG00000029238	7.5162121	7.498686063	7.350265896	7.449176698	7.50658394	7.324928995	7.538457071	7.499964454	7.576570098	7.590325476	7.530299344	7.477842182
ENSMUSG00000029245	6.452982631	6.459057787	6.348011032	6.102962437	6.302119324	6.303415346	6.145755552	6.444916856	6.642529269	6.335991697	6.204619201	6.532284717
ENSMUSG00000029246	7.759994581	7.368386359	7.539554595	7.5827206	7.624614493	7.543166139	7.660311515	7.577356828	7.189125821	7.58080622	7.758995791	6.957457827
ENSMUSG00000029247	10.03494482	9.664520626	10.1988002	9.752601994	10.1729208	9.926430717	10.75582559	9.989165858	9.223965698	10.19702577	10.05298654	9.691941439
ENSMUSG00000029249	7.826593081	7.879560997	7.735018346	7.850710119	7.815376807	8.045322413	7.802532981	7.738299621	7.965556143	8.091598801	8.038141602	8.02155246
ENSMUSG00000029250	8.611498452	8.557312635	8.551986976	8.493005707	8.473953684	9.000573163	8.442093238	8.536493907	7.935322368	8.668335327	8.988885684	7.821476157
ENSMUSG00000029253	6.475875891	6.349480536	6.41058753	6.442609782	6.633776112	6.336924139	6.835109337	6.371493981	6.343094359	6.360606559	6.246923681	6.330375686
ENSMUSG00000029254	6.05488751	5.984681245	5.981165289	6.018842297	6.019590729	6.059864136	5.915024725	6.016218723	6.091568397	5.881806787	5.938002342	5.913562264
ENSMUSG00000029255	5.865131893	5.693957987	5.972882711	5.820182635	5.849294004	5.805077701	5.852741958	5.880447803	6.078878497	5.703746823	6.071111813	6.015382856
ENSMUSG00000029260	4.775995218	4.567445178	4.71818225	4.633371974	4.747450787	5.04381122	4.626795234	4.609494554	4.992842161	4.789964549	4.740317894	4.804696428
ENSMUSG00000029265	6.510724142	6.701335457	6.624185567	6.435114857	6.341288362	6.040465774	6.71342884	6.592456606	6.047069315	6.370734766	6.394232957	6.258600633
ENSMUSG00000029267	8.556185626	8.032551082	8.218970636	8.199787594	8.231860899	8.24092488	7.984722054	8.22423872	7.953898733	8.305574062	8.279448391	7.926661482
ENSMUSG00000029269	4.461712163	4.435099193	4.436196376	4.490025	4.461935538	4.521212481	4.424366678	4.334552318	4.636198716	4.380335267	4.422176826	4.380335267
ENSMUSG00000029272	5.867063765	5.973404223	6.051094623	5.606689951	5.897932356	6.352667941	5.759476387	5.870263539	5.896529899	5.965856113	5.927450107	6.029166673
ENSMUSG00000029273	4.462614642	4.657573418	4.581372932	4.327903301	4.436367046	4.651248826	4.43958926	4.454578325	4.534411179	4.437846121	4.426108291	4.41538815
ENSMUSG00000029275	3.745470644	3.541247682	3.897139056	3.723156494	3.696139107	3.79255463	3.696139107	3.665288745	3.906960625	3.586461804	3.635441627	3.679470659
ENSMUSG00000029276	5.735451617	5.591805058	5.765701647	5.896426103	5.717329257	5.618112548	6.105905196	5.642286238	5.616408747	5.857120135	5.686246658	5.705462507
ENSMUSG00000029279	5.164270861	5.208254556	5.138056581	5.193063721	5.031175558	5.10800402	5.10164204	5.10615011	5.215420513	5.062966341	5.099562785	5.367332832
ENSMUSG00000029281	8.570846207	8.374891062	8.583809117	8.662621202	8.514595578	8.333531674	8.632971019	8.633291386	8.818880769	8.49286198	8.655235954	8.626360733
ENSMUSG00000029283	7.387277898	6.884845636	7.026406489	7.099013923	7.293392549	7.076091636	7.05369987	7.197558732	6.975570659	7.097095947	7.117228937	7.111867807
ENSMUSG00000029286	6.744576041	6.470472058	6.786510998	6.634571422	6.445841196	6.625895611	6.523468494	6.616467463	6.755696201	6.552308932	6.666030447	6.747987529
ENSMUSG00000029287	6.765025057	6.637085811	6.858269365	6.806485017	6.745607327	6.714018748	6.78156421	6.786095546	7.177232976	6.752408001	6.694276459	6.930843682
ENSMUSG00000029288	4.26348695	4.380435655	4.204808104	4.194254538	4.148421293	4.195554821	4.123446951	4.117665258	4.262693416	4.118677804	4.224992006	4.251941632
ENSMUSG00000029290	5.826778785	5.638981603	5.729787085	5.220171581	5.79722337	5.338438009	5.633726072	5.594259523	5.213961299	5.67923976	5.367132762	5.609926179
ENSMUSG00000029291	7.261372254	6.936626964	7.042167656	6.944734993	6.952481659	7.075655836	6.920573482	7.084276442	7.004267879	6.88707372	7.080691838	7.297308169
ENSMUSG00000029299	7.072924843	6.721708359	6.998520607	6.958420089	6.931947284	6.890864962	6.875864456	7.036098728	7.079014927	6.938591218	6.973812774	6.963513828
ENSMUSG00000029304	8.651999382	8.63144159	11.1369616	10.6871484	9.297737712	8.705431466	8.972267358	7.924603279	10.86485747	10.68914644	8.780851288	11.56799328
ENSMUSG00000029306	4.350384118	4.303120147	4.30796372	4.307971105	4.201842443	4.412281527	4.26063839	4.299990604	4.514291283	4.263848085	4.371576814	4.27048414
ENSMUSG00000029309	8.038176915	7.715370282	7.661773404	8.498230592	7.545569184	7.404867163	9.135813819	7.534690408	8.298956322	8.459343315	7.184951615	7.859008838
ENSMUSG00000029310	8.349803171	8.161462151	8.486975034	8.21567448	7.999236727	8.492419944	8.025422912	8.177840148	8.48514027	8.433244868	8.336263068	8.782301647
ENSMUSG00000029311	7.27377538	7.619999575	8.01059318	7.668696703	7.499268829	7.268842826	7.720360268	7.588052296	8.291945092	7.589043901	7.314228596	8.508737258
ENSMUSG00000029313	6.640412292	7.288301335	6.962992743	7.043908423	6.958158338	7.305023752	7.004432037	6.920827282	7.143393514	6.803438011	7.211520349	6.988827369
ENSMUSG00000029321	8.021183384	7.618669158	7.795553911	7.800113264	7.903641687	7.817425425	7.82087238	7.796006926	8.021083715	7.782382529	7.72553139	7.85041585
ENSMUSG00000029322	7.443188487	6.375824887	6.851174837	6.239219394	6.161852706	6.324298534	6.42201912	6.948534458	6.525523323	6.168895559	6.370151238	6.454652169
ENSMUSG00000029326	5.947165833	5.492709078	6.012368844	5.593702345	5.464030204	5.417903162	5.950111447	5.888405229	4.891527706	5.592737676	5.887358125	5.167428693
ENSMUSG00000029328	10.38277264	9.575362466	10.05105048	9.718242371	9.553580978	10.04320606	9.850722986	9.792664093	9.711064191	9.66543664	10.18094613	9.987167264
ENSMUSG00000029334	5.563476334	5.199560414	5.451961147	5.388224157	5.366635014	5.378707241	5.299885618	5.479018085	5.64361276	5.247942589	5.420731331	5.572087497
ENSMUSG00000029337	6.044750169	5.916323731	5.859442221	6.069825608	5.985239862	6.037983977	5.792688768	5.995200886	6.304013074	5.974918469	5.905641238	6.041303066
ENSMUSG00000029338	4.605413942	4.618501484	4.698719863	4.686992981	4.643603895	4.892640474	4.788368406	4.715474609	4.551354657	4.789964549	4.918858363	4.867584312
ENSMUSG00000029343	7.689348204	7.354594874	7.470075567	7.578105567	7.312384408	7.530644249	7.49895043	7.434728047	7.611724643	7.340568632	7.427182335	7.521509952
ENSMUSG00000029344	7.015542149	6.797834752	7.033017462	7.119717006	6.770773191	7.014005978	6.883506185	6.936494299	6.8525043	6.949618412	6.656979565	7.250092783
ENSMUSG00000029345	7.582838683	7.335226921	7.402676772	7.509705144	7.378505421	7.391073983	7.238089596	7.225480298	7.22928241	7.488056639	7.462969653	7.300444407
