,B1_99015,B2_99015,B3_99015,B1_99090,B2_99090,B3_99090,B1_99092,B2_99092,B3_99092,B1_999006,B2_999006,B3_999006,B1_999004,B2_999004,B3_999004,B1_999008,B2_999008,B3_999008,B1_999009,B2_999009,B3_999009,B1_999007,B2_999007,B3_999007,B1_999017,B2_999017,B3_999017,B1_999014,B2_999014,B3_999014
P27797,6143.66748,1219.761108,3477.31543,2012.644409,2385.765137,7143.58252,1338.052734,1311.827026,4523.010742,1456.064209,1168.389893,7546.280273,1828.151123,2085.992188,5566.84375,1356.168213,1180.061035,8568.345703,2751.230225,5236.520508,2177.734863,748.0796509,96.00404358,8613.710938,1248.938843,2989.54126,4518.690918,1775.855835,1478.088013,6774.78125
P27816,167021.5313,12761.28613,7398.37793,136980.5469,18736.69336,16572.63086,193614,148581.9063,12262.57227,104452.7578,10528.45996,37766.41797,159246.3125,20026.24219,12632.19531,61170.53125,1910.100342,17628.67188,21264.72266,13225.06445,1038.545898,48512,83713.92188,19951.04688,163300.2813,22904.38672,59100.73047,30467.33594,19837.00781,32485.5332
P27918,22162.44531,633.0413208,401.3907776,640.5479736,28515.01758,10479.28516,2102.341797,10175.37109,6167.038086,1765.817139,10545.6123,5169.831055,1340.452271,10686.12988,20327.6875,2450.574219,NA,4852.110352,11639.75586,25705.48828,985.4089355,2123.872559,6977.836426,18377.7793,4036.727783,18203.40039,6510.597168,5409.522949,1497.632813,3214.470215
P28072,12571.73926,1666.584473,3756.116943,NA,2707.320068,10853.7207,3062.031738,2408.618652,8850.745117,1516.629639,6592.09668,9705.631836,676.7699585,3118.017578,5528.42627,3618.612305,3608.164795,15312.41113,7799.912109,16373.56445,3670.804688,3486.026855,2111.623779,9699.217773,2201.4729,8633.110352,13309.83105,5627.066406,4526.613281,6465.629883
P28300,20829.67773,15801.17871,3566.26709,26409.9707,27342.77539,13242.93066,6540.472168,17168.67969,9344.049805,22374.79297,57108.16016,13248.07031,14189.9082,20719.76758,7675.095215,16285.80078,3460.703857,11692.11035,15922.9209,38832.84375,6115.000977,8914.621094,10765.65234,9951.389648,13399.66992,15365.80566,6799.378906,8171.319824,10626.29199,12361.74707
P29401,39263.87891,6099.428711,15004.00586,5810.436523,6688.685059,38480.72656,11495.66797,8772.048828,31401.1543,7614.481445,15598.39551,34034.97266,7076.224121,17181.98438,35458.88672,10751.74805,14184.12012,54947.92578,21469.25781,47585.89453,11602.27148,13414.50195,6174.796387,58316.15625,2892.477539,20563.47852,26390.42383,15470.2002,7426.897461,21049.5625
P29622,11060.21582,2379.541748,3149.6875,4616.211426,12293.80762,9813.371094,6977.404297,6743.84082,7251.578613,4237.588379,6146.717285,7058.904785,4767.759277,8435.803711,5719.763184,3890.501709,NA,7138.923828,10049.77734,5757.675781,3698.031982,4852.821777,5891.094238,9715.635742,3756.489258,1820.580933,1489.58252,5612.430664,1460.036743,5010.408203
P30041,13204.4043,11850.20215,10354.57813,7660.433594,14572.5918,13436.72949,9950.625977,11883.95703,7094.614258,7817.092773,9371.730469,16241.42578,11298.24805,14036.96094,12003.41113,11232.8584,3353.876465,10692.3418,16836.55859,25461.92188,7728.990723,13611.28125,9457.025391,28609.60547,7137.631348,15358.55859,13933.1084,13160.55566,13914.77539,10626.81055
P30043,10020.75391,299.6377258,4499.140137,NA,1884.126831,5732.061035,512.7298584,1306.662354,4473.192871,467.1762085,1981.864624,9364.489258,437.7245789,2404.877686,6797.491211,549.2754517,NA,4516.31543,2379.791016,4302.318359,2831.340576,3046.244629,442.6291504,13967.27148,1983.486328,6703.264648,15272.3252,910.6052246,NA,6412.062012
P30049,2380.119141,668.9519043,3198.21875,NA,509.4509888,6274.640625,624.6229248,NA,5005.948242,420.1274719,3148.286865,9465.652344,NA,357.1828613,4855.856445,NA,NA,8465.538086,925.1282959,3373.994629,1543.552368,NA,NA,5829.285156,NA,4090.169434,6336.331055,NA,NA,2675.675049
