proteins;G_12;G_14;G_2;G_39;G_40;G_41;G_42;G_50;G_51;G_52;G_6;G_9;G_92;B_395;B_401;B_414;B_421;B_439;B_444;B_449;L_399;L_402;L_403;L_406;L_420;L_431;L_432;L_433;L_434;L_437;L_441
O00584;1426.147949;1345.433838;;3101.271973;1146.226929;1386.004028;;;1239.05957;3728.320313;1810.765259;14700.01465;;;;;;;;;;399.4017639;;1229.356201;423.3457947;;1757.772095;588.2758789;;;
O00764;;;;4108.365234;;;;;;24249.66797;;45867.77344;;;;;;;;;;;;;;;;;;;
O14498;109953.0547;102504.0469;95581.14063;80988.14063;64108.55469;73966.09375;102689.4688;106262.1484;97778.1875;97618.64063;68848.75;189616.5156;84645.15625;34225.75781;74281.71875;52826.39844;65938.39063;47251.5625;73112.90625;56371.59375;49782.78516;42394.50391;85145.3125;96334.89063;42985.46094;37479.13672;37635.75781;49152.67578;85925.96875;34738.40625;28120.23242
O14558;707.3623047;;;640.5756226;3525.919922;1351.740479;;10886.80664;;1469.037231;;;;;;;;;;;;;;;;;;;;;
O14791;73357.70313;86752.21875;107932.125;81678.78906;123724.7578;76265.35156;130826.7578;57503.62891;76880.17188;22375.625;131381.2656;49289.12109;89940.58594;86716.40625;166224;171280.25;178143.2969;154817;104231.8672;96352.5625;81396.375;130318.4063;126927.2969;143201.4844;117479.3203;137975.9844;126242.0547;117521.8203;128153.8047;61818.85938;177097.0156
O14818;;;;2335.341797;617.1601563;376.0903625;;;;9295.617188;;19528.17969;;;;;;;;;;;;;;;;;;;
O15118;33176.01172;4456.861328;121023.9922;4613.293945;3104.359375;23342.72461;31231.57031;6364.533203;1326.488159;12935.94922;90251.23438;59148.92188;5107.631836;112711.3516;321697.625;7558.331543;199751.8594;4605.677246;146908.3906;8868.885742;7183.05127;5080.421387;7541.766113;4529.579102;5077.327637;2030.756836;13852.04004;2904.95166;3856.88623;5134.459473;7267.686523
O15230;36776.50781;34926.26953;158097.2813;74095.17188;52720.29688;64208.28906;91871.51563;79711.83594;66761.86719;44549.01563;446313.9375;561827.375;38288.97656;154892.7813;2479661.75;31163.55078;1364337;35100.53516;156112.3438;15989.66895;84653.32031;9127.421875;67351.92188;15186.50293;20744.42578;16125.17285;99013.09375;55005.65625;52475.88281;45270.64844;99703.5625
O15335;52351.46094;22690.57227;113198.8906;74491.875;54776.53906;72404.48438;108348.8438;73553.40625;38456.25391;22206.89844;618650.1875;173946.9531;21106.19531;34012.57031;175596.6875;9277.56543;80642.78906;5691.119141;23367.8418;9175.229492;8390.333984;6269.899902;12021.1377;7324.855469;8862.873047;16245.69531;7405.312988;16449.60352;17989.90625;27931.16992;25749.75586
O43396;59792.94141;34173.45703;114883.2188;64253.33594;47573.32031;61975.91406;63345.3125;91640.4375;55066.9375;45779.73438;517899.9375;361345.8125;32317.625;140914.0156;1118695.125;30557.16016;821476.375;30182.33594;165091.5;37569.04297;35557.07813;26288.05664;35247.94531;28288.22656;25174.80859;34028.23438;48586.13672;28381.99609;23458.01367;48888.96094;31554.5625
O43493;6061.375488;4875.294434;1296.388428;6064.075195;4344.782715;5074.863281;4185.030762;4934.655273;3830.15332;24578.02148;4835.333984;30046.7793;3380.029297;6980.34375;8887.418945;3597.410645;13057.03027;3820.984863;4576.297363;3229.613037;8164.853027;3535.478516;4075.743652;5385.378418;3710.022705;1960.112061;8011.404785;2895.016113;2983.460693;2917.899902;1408.205322
O43707;4216.84082;3038.264893;;6341.392578;7481.537109;;3173.602051;;2829.555664;12826.05078;;;;;;;;;;;;2139.631836;;2823.338867;2282.393066;2338.57666;;;2944.215332;;872.1999512
O43866;14277.76367;24820.65234;34900.30469;42661.92578;58359.30469;31296.78516;22359.26172;4816.65332;21900.10352;65745.6875;16581.32813;18940.55469;15054.47266;;7571.86377;21266.80664;28125.68164;25085.25586;12045.70508;14383.00098;17263.03906;14403.94434;23006.29297;32828.91406;15760.11426;24632.17578;25272.03906;13940.76172;15541.02441;27295.74023;17464.35352
O60240;40546.99219;10122.85938;35327.875;60991.15234;42025.79688;21422.25977;2277.943115;78222.91406;;84911.48438;5121.425781;69078.65625;1196.885986;;;;;165057.8125;3506.462158;;;;;;;;;28823.63867;;;
O60292;6833.948242;14315.74902;;22079.93359;11429.7334;9189.411133;;;3447.47168;;;;2798.295898;;;5146.862793;;3815.256104;;;5265.652832;;1750.019531;9033.227539;;5834.342285;;;5921.315918;;
O60911;24817.35742;12395.13672;57894.92578;18890.32227;25096.00195;25256.62695;22699.76563;42106.47656;15423.80176;13869.7373;137704.75;113716.5547;15703.81445;59312.10156;347458.75;12452.30469;266618.5625;12346.8252;71604.24219;14451.6875;21879.27148;14018.32715;15322.24414;13885.6543;14904.54688;22908.46094;12090.61328;14235.79004;10376.04199;21854.72266;12047.13574
O75112;;;33227.59766;;;;;34147.32031;;;;;;;;;;;;;;;;;;;;;;;
O75144;34785.70313;19645.8125;105543.2344;16568.92383;20657.07031;29592.6875;31723.59766;13030.25195;10981.0625;34058.44922;38291.51563;19093.45313;22424.55664;73624.5625;118725.7969;39283.23438;;26491.69922;50165.79688;33154.89844;23235.44336;25085.62109;29584.74023;18647.9375;24162.125;15616.65527;31628.90039;15352.65625;17873.33594;26750.18555;16364.50879
O75173;;;;;12928.74023;;;19298.03711;;;;;;;;;;;;;;;;;;;;;;;
O75223;48342.79297;27050.55469;93481.25;52272.82422;47339.32031;47144.6875;43290.50781;80973.8125;42423.98438;43976.13672;412291.2813;349604.3438;24319.89844;154975.2969;1640361.875;34787.91016;984443.125;22139.77539;183352.5469;26187.4043;38475.29297;30297.43555;36472.98828;23824;28037.95117;42994.35547;38947.25;26925.37891;20084.24414;50048.83984;18152.05078
